"BB84 17/06/2024-18/06/2024"

"Card Number","First name","Last Name","Score","Correct","Answered","Alice, sortee un tipo (base) de polarizador y mida. Bob, sortee un tipo (base) de polarizador."
"","","","","","","Distribución cuántica de claves"
"","","","","","","https://www.plickers.com/setreport/6671e04d7036755d98d2af53/1223aa69"
"","","","","","","Survey"
"1","Guest 1","","-","0","0","B"
"2","Guest 2","","-","0","0","A"
"3","Guest 3","","-","0","0","B"
"4","Guest 4","","-","0","0","C"
"5","Guest 5","","-","0","0","A"
"6","Guest 6","","-","0","0","B"
"23","Guest 23","","-","0","0","A"
"24","Guest 24","","-","0","0","C"
"25","Guest 25","","-","0","0","D"
"26","Guest 26","","-","0","0","A"
"27","Guest 27","","-","0","0","C"
"28","Guest 28","","-","0","0","C"
