"BB84 25/06/2024-25/06/2024"

"Card Number","First name","Last Name","Score","Correct","Answered","Alice (impar), sortee un tipo de polarizador y  el bit.  Bob (par), sortee un tipo de polarizador."
"","","","","","","Distribución cuántica de claves"
"","","","","","","https://www.plickers.com/setreport/667b114970a7936d12b10243/1223aa69"
"","","","","","","Survey"
"2","Guest 2","","-","0","0","C"
"4","Guest 4","","-","0","0","C"
"5","Guest 5","","-","0","0","B"
"6","Guest 6","","-","0","0","C"
"8","Guest 8","","-","0","0","C"
"9","Guest 9","","-","0","0","D"
"10","Guest 10","","-","0","0","B"
"11","Guest 11","","-","0","0","C"
"12","Guest 12","","-","0","0","C"
"13","Guest 13","","-","0","0","D"
"14","Guest 14","","-","0","0","A"
"15","Guest 15","","-","0","0","C"
"16","Guest 16","","-","0","0","B"
"20","Guest 20","","-","0","0","D"
"22","Guest 22","","-","0","0","A"
"24","Guest 24","","-","0","0","A"
"26","Guest 26","","-","0","0","D"
"28","Guest 28","","-","0","0","B"
"29","Guest 29","","-","0","0","B"
"31","Guest 31","","-","0","0","B"
"33","Guest 33","","-","0","0","C"
"35","Guest 35","","-","0","0","D"
"37","Guest 37","","-","0","0","B"
"39","Guest 39","","-","0","0","C"
"41","Guest 41","","-","0","0","A"
"43","Guest 43","","-","0","0","B"
"45","Guest 45","","-","0","0","D"
"47","Guest 47","","-","0","0","C"
